qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
NC_019097_00056|MPF_I,"AAWBYX010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N19S2185 SAMN14755108-rid9771143.denovo.26, whole genome shotgun sequence",818,73002,1,754,33009,35270,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AAWQNC010000020.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.20, whole genome shotgun sequence",93,55307,1,93,20716,20808,93,0,100.0,100.0,100.0,plus,1.14e-45,172,oriT
MG764547|IncI-gamma/K1,"AAWQNC010000031.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.33, whole genome shotgun sequence",1032,23225,1,1032,6063,7094,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"AAWQNC010000020.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.20, whole genome shotgun sequence",899,55307,1,898,17653,20346,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_022267_00057|MPF_I,"AAWQNC010000020.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.20, whole genome shotgun sequence",400,55307,1,400,3717,4916,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
NC_019097_00056|MPF_I,"AAWQNC010000020.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.20, whole genome shotgun sequence",818,55307,1,754,15319,17580,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
NC_019111_00038|MPF_I,"AAWQNC010000033.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.36, whole genome shotgun sequence",134,17693,1,126,1065,1442,126,0,100.0,94.0,94.0,minus,5.38e-52,169,mate-pair-formation
NC_023290_00086|MPF_I,"AAWQNC010000033.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.36, whole genome shotgun sequence",175,17693,1,175,1496,2020,175,1,99.429,100.0,100.0,minus,7.499999999999999e-105,322,mate-pair-formation
NC_015965_00072|MPF_I,"AAWQNC010000033.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.36, whole genome shotgun sequence",234,17693,1,234,2023,2724,234,1,99.573,100.0,100.0,minus,9.900000000000001e-158,477,mate-pair-formation
NC_019097_00075|MPF_I,"AAWQNC010000033.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.36, whole genome shotgun sequence",327,17693,1,327,4019,4999,327,1,99.694,100.0,100.0,minus,0.0,657,mate-pair-formation
NC_022267_00069|MPF_I,"AAWQNC010000033.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.36, whole genome shotgun sequence",237,17693,1,216,5055,5702,216,2,99.074,91.0,91.0,minus,1.24e-147,448,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAWQNC010000033.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.36, whole genome shotgun sequence",116,17693,1,116,5702,6046,116,9,91.379,100.0,100.0,minus,3.68e-59,189,mate-pair-formation
NC_019097_00085|MPF_I,"AAWQNC010000033.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAL-20-VL-NY-NCR-0010 SAMN16429057-rid10766763.denovo.36, whole genome shotgun sequence",272,17693,1,272,11922,12737,272,0,100.0,100.0,100.0,minus,0.0,550,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AAWXOU010000016.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22029335 SAMN16357027-rid10701073.denovo.16, whole genome shotgun sequence",93,84898,1,93,38406,38498,93,0,100.0,100.0,100.0,plus,8.77e-46,172,oriT
NC_019097|MOBP,"AAWXOU010000016.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22029335 SAMN16357027-rid10701073.denovo.16, whole genome shotgun sequence",899,84898,1,898,35343,38036,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_019097_00085|MPF_I,"AAWXOU010000016.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22029335 SAMN16357027-rid10701073.denovo.16, whole genome shotgun sequence",272,84898,1,272,4957,5772,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAWXOU010000016.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22029335 SAMN16357027-rid10701073.denovo.16, whole genome shotgun sequence",116,84898,1,116,11648,11992,116,9,91.379,100.0,100.0,plus,2.8000000000000002e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"AAWXOU010000016.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22029335 SAMN16357027-rid10701073.denovo.16, whole genome shotgun sequence",237,84898,1,216,11992,12639,216,2,99.074,91.0,91.0,plus,9.55e-148,448,mate-pair-formation
NC_019097_00075|MPF_I,"AAWXOU010000016.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22029335 SAMN16357027-rid10701073.denovo.16, whole genome shotgun sequence",327,84898,1,327,12695,13675,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"AAWXOU010000016.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22029335 SAMN16357027-rid10701073.denovo.16, whole genome shotgun sequence",234,84898,1,234,14970,15671,234,1,99.573,100.0,100.0,plus,7.63e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"AAWXOU010000016.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22029335 SAMN16357027-rid10701073.denovo.16, whole genome shotgun sequence",175,84898,1,175,15674,16198,175,1,99.429,100.0,100.0,plus,5.75e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"AAWXOU010000016.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22029335 SAMN16357027-rid10701073.denovo.16, whole genome shotgun sequence",134,84898,1,126,16252,16629,126,0,100.0,94.0,94.0,plus,4.11e-52,169,mate-pair-formation
NC_022267_00057|MPF_I,"AAWXOU010000016.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22029335 SAMN16357027-rid10701073.denovo.16, whole genome shotgun sequence",400,84898,1,400,21407,22606,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
NC_019097_00056|MPF_I,"AAWXOU010000016.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22029335 SAMN16357027-rid10701073.denovo.16, whole genome shotgun sequence",818,84898,1,754,33009,35270,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AAYPQN010000028.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.28, whole genome shotgun sequence",93,56760,1,93,22169,22261,93,0,100.0,100.0,100.0,plus,7.38e-46,172,oriT
MG764547|IncI-gamma/K1,"AAYPQN010000044.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.44, whole genome shotgun sequence",1032,23225,1,1032,6063,7094,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"AAYPQN010000028.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.28, whole genome shotgun sequence",899,56760,1,898,19106,21799,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_019111_00038|MPF_I,"AAYPQN010000028.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.28, whole genome shotgun sequence",134,56760,1,126,15,392,126,5,96.032,94.0,94.0,plus,2.81e-50,164,mate-pair-formation
NC_022267_00057|MPF_I,"AAYPQN010000028.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.28, whole genome shotgun sequence",400,56760,1,400,5170,6369,400,3,99.25,100.0,100.0,plus,0.0,769,mate-pair-formation
NC_019097_00056|MPF_I,"AAYPQN010000028.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.28, whole genome shotgun sequence",818,56760,1,754,16772,19033,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
NC_023290_00086|MPF_I,"AAYPQN010000045.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.45, whole genome shotgun sequence",175,16751,1,175,44,568,175,1,99.429,100.0,100.0,minus,4.77e-105,322,mate-pair-formation
NC_015965_00072|MPF_I,"AAYPQN010000045.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.45, whole genome shotgun sequence",234,16751,1,234,571,1272,234,1,99.573,100.0,100.0,minus,6.29e-158,477,mate-pair-formation
NC_019097_00075|MPF_I,"AAYPQN010000045.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.45, whole genome shotgun sequence",327,16751,1,327,2567,3547,327,1,99.694,100.0,100.0,minus,0.0,657,mate-pair-formation
NC_022267_00069|MPF_I,"AAYPQN010000045.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.45, whole genome shotgun sequence",237,16751,1,216,3603,4250,216,2,99.074,91.0,91.0,minus,7.87e-148,448,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAYPQN010000045.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.45, whole genome shotgun sequence",116,16751,1,116,4250,4594,116,9,91.379,100.0,100.0,minus,2.34e-59,189,mate-pair-formation
NC_019097_00085|MPF_I,"AAYPQN010000045.1 Salmonella enterica subsp. enterica serovar Copenhagen strain FDA382205 SAMN02844394-rid5029143.denovo.45, whole genome shotgun sequence",272,16751,1,272,10470,11285,272,0,100.0,100.0,100.0,minus,0.0,550,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"ABATPR010000018.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.18, whole genome shotgun sequence",93,72668,1,93,38410,38502,93,0,100.0,100.0,100.0,plus,1.04e-45,172,oriT
MG764547|IncI-gamma/K1,"ABATPR010000037.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.37, whole genome shotgun sequence",1032,24001,1,1032,6063,7094,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"ABATPR010000018.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.18, whole genome shotgun sequence",899,72668,1,898,35347,38040,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_019097_00085|MPF_I,"ABATPR010000018.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.18, whole genome shotgun sequence",272,72668,1,272,4961,5776,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
NZ_CM001473_00069|MPF_I,"ABATPR010000018.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.18, whole genome shotgun sequence",116,72668,1,116,11652,11996,116,9,91.379,100.0,100.0,plus,3.35e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"ABATPR010000018.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.18, whole genome shotgun sequence",237,72668,1,216,11996,12643,216,2,99.074,91.0,91.0,plus,1.14e-147,448,mate-pair-formation
NC_019097_00075|MPF_I,"ABATPR010000018.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.18, whole genome shotgun sequence",327,72668,1,327,12699,13679,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"ABATPR010000018.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.18, whole genome shotgun sequence",234,72668,1,234,14974,15675,234,1,99.573,100.0,100.0,plus,9.12e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"ABATPR010000018.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.18, whole genome shotgun sequence",175,72668,1,175,15678,16202,175,1,99.429,100.0,100.0,plus,6.88e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"ABATPR010000018.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.18, whole genome shotgun sequence",134,72668,1,126,16256,16633,126,5,96.032,94.0,94.0,plus,4.01e-50,164,mate-pair-formation
NC_022267_00057|MPF_I,"ABATPR010000018.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.18, whole genome shotgun sequence",400,72668,1,400,21411,22610,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
NC_019097_00056|MPF_I,"ABATPR010000018.1 Salmonella enterica strain 21TX04GT01-S1 SAMN19605054-rid12430833.denovo.18, whole genome shotgun sequence",818,72668,1,754,33013,35274,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",93,100508,1,93,12633,12725,93,0,100.0,100.0,100.0,plus,7.22e-46,172,oriT
MG764547|IncI-gamma/K1,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",1032,100508,1,1032,55677,56708,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",899,100508,1,898,9570,12263,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_019097_00056|MPF_I,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",818,100508,1,754,7236,9497,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
NC_019097_00085|MPF_I,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",272,100508,1,272,79694,80509,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
NZ_CM001473_00069|MPF_I,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",116,100508,1,116,86384,86728,116,9,91.379,100.0,100.0,plus,2.31e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",237,100508,1,216,86728,87375,216,2,99.074,91.0,91.0,plus,7.86e-148,448,mate-pair-formation
NC_019097_00075|MPF_I,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",327,100508,1,327,87431,88411,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",234,100508,1,234,89706,90407,234,1,99.573,100.0,100.0,plus,6.28e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",175,100508,1,175,90410,90934,175,1,99.429,100.0,100.0,plus,4.73e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",134,100508,1,126,90988,91365,126,5,96.032,94.0,94.0,plus,2.76e-50,164,mate-pair-formation
NC_022267_00057|MPF_I,"CP082705.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S520 isolate 17GA07GT17-S2 plasmid pN17S520, complete sequence",400,100508,1,400,96143,97342,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"ABHRLM010000021.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.21, whole genome shotgun sequence",93,74548,1,93,38916,39008,93,0,100.0,100.0,100.0,plus,1.11e-45,172,oriT
MG764547|IncI-gamma/K1,"ABHRLM010000034.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.35, whole genome shotgun sequence",1032,24006,1,1032,6063,7094,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"ABHRLM010000021.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.21, whole genome shotgun sequence",899,74548,1,898,35853,38546,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_019097_00085|MPF_I,"ABHRLM010000021.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.21, whole genome shotgun sequence",272,74548,1,272,5467,6282,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
NZ_CM001473_00069|MPF_I,"ABHRLM010000021.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.21, whole genome shotgun sequence",116,74548,1,116,12158,12502,116,9,91.379,100.0,100.0,plus,3.59e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"ABHRLM010000021.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.21, whole genome shotgun sequence",237,74548,1,216,12502,13149,216,2,99.074,91.0,91.0,plus,1.22e-147,448,mate-pair-formation
NC_019097_00075|MPF_I,"ABHRLM010000021.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.21, whole genome shotgun sequence",327,74548,1,327,13205,14185,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"ABHRLM010000021.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.21, whole genome shotgun sequence",234,74548,1,234,15480,16181,234,1,99.573,100.0,100.0,plus,9.75e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"ABHRLM010000021.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.21, whole genome shotgun sequence",175,74548,1,175,16184,16708,175,1,99.429,100.0,100.0,plus,7.35e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"ABHRLM010000021.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.21, whole genome shotgun sequence",134,74548,1,126,16762,17139,126,5,96.032,94.0,94.0,plus,4.28e-50,164,mate-pair-formation
NC_022267_00057|MPF_I,"ABHRLM010000021.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.21, whole genome shotgun sequence",400,74548,1,400,21917,23116,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
NC_019097_00056|MPF_I,"ABHRLM010000021.1 Salmonella enterica strain PNUSAS293953 SAMN30466018-rid15188123.denovo.21, whole genome shotgun sequence",818,74548,1,754,33519,35780,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",93,97864,1,93,38406,38498,93,0,100.0,100.0,100.0,plus,9.29e-46,172,oriT
MG764547|IncI-gamma/K1,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",1032,97864,1,1032,80702,81733,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",899,97864,1,898,35343,38036,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_019097_00085|MPF_I,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",272,97864,1,272,4957,5772,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
NZ_CM001473_00069|MPF_I,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",116,97864,1,116,11648,11992,116,9,91.379,100.0,100.0,plus,2.97e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",237,97864,1,216,11992,12639,216,2,99.074,91.0,91.0,plus,1.01e-147,448,mate-pair-formation
NC_019097_00075|MPF_I,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",327,97864,1,327,12695,13675,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",234,97864,1,234,14970,15671,234,1,99.573,100.0,100.0,plus,8.08e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",175,97864,1,175,15674,16198,175,1,99.429,100.0,100.0,plus,6.09e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",134,97864,1,126,16252,16629,126,0,100.0,94.0,94.0,plus,4.36e-52,169,mate-pair-formation
NC_022267_00057|MPF_I,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",400,97864,1,400,21407,22606,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
NC_019097_00056|MPF_I,"ABMNIM010000016.1 Salmonella enterica strain WSDA359 SAMN37046962-rid19166453.denovo.17, whole genome shotgun sequence",818,97864,1,754,33009,35270,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"ABOFKO010000027.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.27, whole genome shotgun sequence",93,44373,1,93,20921,21013,93,0,100.0,100.0,100.0,minus,1.08e-45,172,oriT
MG764547|IncI-gamma/K1,"ABOFKO010000058.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.60, whole genome shotgun sequence",1032,9373,1,1032,3250,4281,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"ABOFKO010000027.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.27, whole genome shotgun sequence",899,44373,1,898,21383,24076,898,50,94.432,99.0,99.0,plus,0.0,1668,relaxase
NC_019097_00056|MPF_I,"ABOFKO010000027.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.27, whole genome shotgun sequence",818,44373,1,754,24149,26410,754,9,98.806,92.0,92.0,minus,0.0,1443,mate-pair-formation
NC_022267_00057|MPF_I,"ABOFKO010000027.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.27, whole genome shotgun sequence",400,44373,1,400,39458,40657,400,8,98.0,100.0,100.0,minus,0.0,759,mate-pair-formation
NC_019111_00038|MPF_I,"ABOFKO010000047.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.48, whole genome shotgun sequence",134,20111,1,126,1064,1441,126,0,100.0,94.0,94.0,minus,5.07e-52,169,mate-pair-formation
NC_023290_00086|MPF_I,"ABOFKO010000047.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.48, whole genome shotgun sequence",175,20111,1,175,1495,2019,175,1,99.429,100.0,100.0,minus,7.07e-105,322,mate-pair-formation
NC_015965_00072|MPF_I,"ABOFKO010000047.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.48, whole genome shotgun sequence",234,20111,1,234,2022,2723,234,1,99.573,100.0,100.0,minus,9.34e-158,477,mate-pair-formation
NC_019097_00075|MPF_I,"ABOFKO010000047.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.48, whole genome shotgun sequence",327,20111,1,327,4018,4998,327,1,99.694,100.0,100.0,minus,0.0,657,mate-pair-formation
NC_022267_00069|MPF_I,"ABOFKO010000047.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.48, whole genome shotgun sequence",237,20111,1,216,5054,5701,216,2,99.074,91.0,91.0,minus,1.17e-147,448,mate-pair-formation
NZ_CM001473_00069|MPF_I,"ABOFKO010000047.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.48, whole genome shotgun sequence",116,20111,1,116,5701,6045,116,9,91.379,100.0,100.0,minus,3.47e-59,189,mate-pair-formation
NC_019097_00085|MPF_I,"ABOFKO010000047.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS32310432 SAMN37909491-rid19918453.denovo.48, whole genome shotgun sequence",272,20111,1,272,11921,12736,272,0,100.0,100.0,100.0,minus,0.0,550,mate-pair-formation
